.
319,42
318,42
316,42
314,42
312,42
310,42
307,42
304,42
300,42
297,42
293,42
289,42
285,42
281,42
276,42
272,42
268,42
264,42
256,42
251,42
246,43
242,44
237,44
233,45
229,45
225,45
221,45
218,45
216,45
214,45
213,45
212,45
211,45
210,45
213,46
.
213,46
212,46
212,47
212,48
212,49
212,50
212,51
212,52
212,53
212,54
212,56
212,58
212,60
212,62
211,64
211,66
211,68
211,70
211,72
211,74
211,77
211,79
211,81
211,83
211,85
210,87
210,88
210,90
210,91
210,93
210,94
210,96
210,97
210,98
210,97
210,96
210,95
210,94
212,93
213,92
215,91
216,91
218,90
219,90
221,90
223,89
226,89
230,88
234,87
238,87
243,86
247,86
254,86
256,86
258,86
259,86
260,86
262,87
263,88
264,90
266,92
267,94
269,96
270,99
274,105
276,109
277,114
278,118
279,123
280,127
280,132
280,136
280,140
280,143
280,144
280,146
278,146
276,147
274,149
272,151
269,153
265,155
262,157
258,159
253,160
249,162
245,164
241,165
238,166
235,167
231,168
228,169
224,170
220,171
216,172
211,172
207,173
203,173
199,173
196,173
194,173
191,173
189,173
187,173
185,173
183,173
182,173
181,173
181,172
